season,division,date,home,away,home_goals,away_goals
2024,5,2024-08-01,Slovenia,Norway,22,29
2024,5,2024-08-01,Germany,Denmark,27,28
2024,5,2024-08-01,Angola,France,24,38
2024,5,2024-08-01,Spain,Hungary,24,27
2024,5,2024-08-01,South Korea,Sweden,21,27
2024,5,2024-08-01,Netherlands,Brazil,31,24
2024,5,2024-07-30,Sweden,Denmark,23,25
2024,5,2024-07-30,France,Brazil,26,20
2024,5,2024-07-30,Hungary,Angola,31,31
2024,5,2024-07-30,Netherlands,Spain,29,24
2024,5,2024-07-30,Norway,South Korea,26,20
2024,5,2024-07-30,Germany,Slovenia,41,22
2024,5,2024-07-28,France,Netherlands,32,28
2024,5,2024-07-28,Angola,Spain,26,21
2024,5,2024-07-28,Denmark,Norway,18,27
2024,5,2024-07-28,Sweden,Germany,31,28
2024,5,2024-07-28,South Korea,Slovenia,23,30
2024,5,2024-07-28,Brazil,Hungary,24,25
2024,5,2024-07-25,Norway,Sweden,28,32
2024,5,2024-07-25,Hungary,France,28,31
2024,5,2024-07-25,Germany,South Korea,22,23
2024,5,2024-07-25,Spain,Brazil,18,29
2024,5,2024-07-25,Netherlands,Angola,34,31
2024,5,2024-07-25,Slovenia,Denmark,19,27
2024,4,2024-07-21,Germany,Brazil,27,20
2024,4,2024-07-19,Germany,Hungary,30,29
2024,4,2024-07-18,Denmark,Norway,24,35
2024,4,2024-07-17,Slovenia,Brazil,23,29
2024,4,2024-07-16,Norway,Denmark,26,24
2024,4,2024-07-14,Spain,South Korea,24,19
2024,4,2024-07-13,France,Angola,33,20
2024,4,2024-07-13,Germany,Brazil,31,36
2024,4,2024-07-13,Hungary,Slovenia,28,27
2024,4,2024-07-12,Spain,South Korea,29,23
2024,4,2024-07-10,Spain,Angola,22,21
2024,4,2024-07-06,France,Norway,25,19
2024,4,2024-07-05,Sweden,Netherlands,29,30
2024,4,2024-07-04,France,Norway,22,34
2024,4,2024-04-14,France,Romania,30,28
2024,4,2024-04-14,Poland,Brazil,26,22
2024,5,2024-04-14,Hungary,Japan,37,28
2024,5,2024-04-14,Spain,Netherlands,26,27
2024,5,2024-04-14,Great Britain,Sweden,8,52
2024,5,2024-04-14,Montenegro,Slovenia,26,30
2024,5,2024-04-14,Czech Republic,Argentina,41,33
2024,5,2024-04-14,Paraguay,Germany,20,37
2024,5,2024-04-13,Slovenia,Paraguay,32,14
2024,5,2024-04-13,Germany,Montenegro,28,24
2024,5,2024-04-12,Argentina,Spain,23,26
2024,5,2024-04-12,Japan,Great Britain,43,16
2024,5,2024-04-12,Netherlands,Czech Republic,32,18
2024,5,2024-04-12,Sweden,Hungary,25,28
2024,5,2024-04-11,Netherlands,Argentina,34,22
2024,5,2024-04-11,Montenegro,Paraguay,30,25
2024,5,2024-04-11,Czech Republic,Spain,21,31
2024,5,2024-04-11,Sweden,Japan,35,28
2024,5,2024-04-11,Germany,Slovenia,31,25
2024,5,2024-04-11,Hungary,Great Britain,49,11
2024,3,2024-04-07,Croatia,Bosnia & Herzegovina,33,19
2024,3,2024-04-07,Czech Republic,Portugal,25,22
2024,3,2024-04-07,Germany,Israel,46,9
2024,3,2024-04-07,Iceland,Faroe Islands,24,20
2024,3,2024-04-07,Montenegro,Bulgaria,35,17
2024,3,2024-04-07,Netherlands,Finland,35,22
2024,3,2024-04-07,North Macedonia,Lithuania,34,24
2024,3,2024-04-07,Poland,Kosovo,28,17
2024,3,2024-04-07,Romania,Greece,31,24
2024,3,2024-04-07,Serbia,Turkey,30,22
2024,3,2024-04-07,Slovakia,Ukraine,25,25
2024,3,2024-04-07,Slovenia,Italy,35,21
2024,3,2024-04-07,Sweden,Luxembourg,47,18
2024,4,2024-04-07,Denmark,Japan,40,17
2024,3,2024-04-06,Israel,Germany,12,35
2024,4,2024-04-06,Tunisia,Senegal,25,23
2024,4,2024-04-06,Denmark,Japan,33,19
2024,3,2024-04-04,Bosnia & Herzegovina,Romania,16,37
2024,3,2024-04-04,Portugal,Netherlands,25,36
