season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2018,3,2017-09-27,Croatia,Switzerland,32,28,232,0,0
2018,3,2017-09-27,Hungary,Kosovo,37,12,233,0,0
2018,3,2017-09-27,Poland,Italy,40,13,234,0,0
2018,3,2017-09-27,Romania,Austria,36,25,235,0,0
2018,3,2017-09-28,Russia,Portugal,32,25,236,0,0
2018,3,2017-09-28,Sweden,North Macedonia,38,26,237,0,0
2018,3,2017-09-28,Serbia,Faroe Islands,36,20,238,0,0
2018,3,2017-09-28,Montenegro,Slovakia,24,23,239,0,0
2017,4,2017-09-29,France,Brazil,23,21,240,0,0
2018,3,2017-09-30,Austria,Russia,27,25,241,0,0
2018,3,2017-10-01,Kosovo,Netherlands,12,40,242,0,0
2018,3,2017-10-01,North Macedonia,Serbia,27,33,243,0,0
2018,3,2017-10-01,Faroe Islands,Sweden,15,33,244,0,0
2018,3,2017-10-01,Lithuania,Spain,17,24,245,0,0
2018,3,2017-10-01,Slovenia,Czech Republic,28,28,246,0,0
2018,3,2017-10-01,Ukraine,Croatia,26,22,247,0,0
2018,3,2017-10-01,Iceland,Denmark,14,29,248,0,0
2018,3,2017-10-01,Switzerland,Norway,12,29,249,0,0
2018,3,2017-10-01,Italy,Montenegro,16,23,250,0,0
2018,3,2017-10-01,Portugal,Romania,16,32,251,0,0
2018,3,2017-10-01,Slovakia,Poland,20,29,252,0,0
2018,3,2017-10-01,Turkey,Germany,16,30,253,0,0
2018,3,2017-10-01,Belarus,Hungary,18,25,254,0,0
2017,4,2017-10-01,France,Brazil,22,22,255,0,0
2017,4,2017-10-28,Germany,Netherlands,23,18,256,0,0
2017,4,2017-10-29,Germany,Netherlands,36,26,257,0,0
2017,4,2017-11-21,Serbia,Slovakia,30,30,258,0,0
2017,4,2017-11-22,Serbia,Slovakia,26,24,259,0,0
2017,4,2017-11-23,Czech Republic,Austria,27,28,260,0,0
2017,4,2017-11-24,Spain,Argentina,28,19,261,0,0
2017,4,2017-11-24,France,Tunisia,35,19,262,0,0
2017,4,2017-11-24,Japan,Ukraine,24,25,263,0,0
2017,4,2017-11-24,Slovakia,Germany,22,23,264,0,0
2017,4,2017-11-24,Romania,Poland,21,27,265,0,0
2017,4,2017-11-24,Slovenia,Angola,31,25,266,0,0
2017,4,2017-11-24,North Macedonia,Brazil,19,32,267,0,0
2017,4,2017-11-24,Czech Republic,Switzerland,29,22,268,0,0
2017,4,2017-11-25,Spain,Japan,26,22,269,0,0
2017,4,2017-11-25,Ukraine,Argentina,31,25,270,0,0
2017,4,2017-11-25,Germany,Iceland,32,19,271,0,0
2017,4,2017-11-25,Denmark,Sweden,26,25,272,0,0
2017,4,2017-11-25,Romania,North Macedonia,31,18,273,0,0
2017,4,2017-11-25,Brazil,Poland,18,29,274,0,0
2017,4,2017-11-25,Switzerland,Austria,22,24,275,0,0
2017,4,2017-11-26,Spain,Ukraine,33,14,276,0,0
2017,4,2017-11-26,Montenegro,Serbia,36,26,277,0,0
2017,4,2017-11-26,France,Slovenia,26,18,278,0,0
2017,4,2017-11-26,Argentina,Japan,26,21,279,0,0
2017,4,2017-11-26,Romania,Brazil,24,23,280,0,0
2017,4,2017-11-26,Angola,Tunisia,31,14,281,0,0
2017,4,2017-11-26,North Macedonia,Poland,25,32,282,0,0
2017,4,2017-11-27,Sweden,Denmark,23,17,283,0,0
2017,4,2017-11-27,Slovakia,Iceland,26,28,284,0,0
2017,4,2017-11-27,Montenegro,Serbia,25,31,285,0,0
2017,4,2017-11-28,Slovakia,Iceland,25,27,286,0,0
2017,4,2017-11-29,France,Angola,30,18,287,0,0
2018,3,2018-03-21,Iceland,Slovenia,30,30,288,0,0
2018,3,2018-03-21,Faroe Islands,North Macedonia,15,22,289,0,0
2018,3,2018-03-21,Switzerland,Ukraine,21,15,290,0,0
2018,3,2018-03-21,Germany,Spain,33,24,291,0,0
2018,3,2018-03-21,Italy,Slovakia,20,21,292,0,0
2018,3,2018-03-21,Croatia,Norway,25,32,293,0,0
2018,3,2018-03-21,Kosovo,Belarus,22,31,294,0,0
2018,3,2018-03-21,Serbia,Sweden,30,23,295,0,0
2018,3,2018-03-21,Poland,Montenegro,20,26,296,0,0
2018,3,2018-03-21,Czech Republic,Denmark,21,26,297,0,0
2018,3,2018-03-21,Russia,Romania,30,25,298,0,0
2018,3,2018-03-22,Portugal,Austria,30,32,299,0,0
2018,3,2018-03-22,Hungary,Netherlands,18,19,300,0,0
2018,3,2018-03-22,Lithuania,Turkey,22,22,301,0,0
2018,4,2018-03-22,France,Brazil,28,17,302,0,0
2018,3,2018-03-24,Austria,Portugal,29,24,303,0,0
2018,3,2018-03-24,Spain,Germany,27,23,304,0,0
2018,3,2018-03-24,Montenegro,Poland,33,23,305,0,0
2018,3,2018-03-24,Denmark,Czech Republic,21,20,306,0,0
2018,3,2018-03-24,Sweden,Serbia,31,30,307,0,0
2018,3,2018-03-24,Slovakia,Italy,20,17,308,0,0
2018,3,2018-03-25,North Macedonia,Faroe Islands,28,24,309,0,0
2018,3,2018-03-25,Norway,Croatia,33,27,310,0,0
2018,3,2018-03-25,Ukraine,Switzerland,21,22,311,0,0
