season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2016,1,2016-01-29,Spain,Croatia,33,29,168,0,0,2,2,15,13,0,51,11
2016,1,2016-01-29,Norway,Germany,33,34,169,0,0,2,2,12,18,0,41,21
2016,1,2016-01-29,France,Denmark,29,26,170,0,0,2,2,10,12,0,19,14
2016,1,2016-01-29,Poland,Sweden,26,24,171,0,0,2,2,21,19,0,42,52
2016,1,2016-01-31,Germany,Spain,24,17,172,0,0,2,2,19,16,0,21,51
2016,1,2016-01-31,Norway,Croatia,24,31,173,0,0,2,2,13,14,0,41,11
2016,2,2016-03-11,Germany,Qatar,32,17,174,1,1,40,100,20,5,0,21,44
2016,2,2016-03-13,Germany,Qatar,24,26,175,1,1,2,2,21,6,0,21,44
2016,1,2016-04-02,Estonia,Switzerland,26,34,176,0,0,100,90,2,12,1,16,53
2016,1,2016-04-02,Romania,Finland,32,30,177,0,0,95,7,5,1,1,45,18
2016,1,2016-04-02,Greece,Bosnia & Herzegovina,23,28,178,0,0,100,7,4,1,1,23,7
2016,2,2016-04-02,Germany,Denmark,33,26,179,1,1,20,64,22,13,0,21,14
2016,2,2016-04-03,Norway,Iceland,29,25,180,1,1,63,75,14,13,0,41,26
2016,2,2016-04-03,Germany,Austria,26,20,181,1,1,1,91,23,6,0,21,3
2016,1,2016-04-04,Switzerland,Estonia,31,32,182,0,0,2,2,13,3,0,53,16
2016,1,2016-04-04,Great Britain,Italy,23,47,183,0,0,7,100,1,3,1,22,30
2016,2,2016-04-04,Argentina,Brazil,20,24,184,1,1,85,85,8,10,0,2,8
2016,1,2016-04-05,Bosnia & Herzegovina,Greece,27,22,185,0,0,3,3,2,5,0,7,23
2016,1,2016-04-05,Finland,Romania,32,29,186,0,0,3,3,2,6,0,18,45
2016,2,2016-04-05,Norway,Iceland,34,27,187,1,1,2,2,15,14,0,41,26
2016,2,2016-04-05,Qatar,Argentina,33,19,188,1,1,23,1,7,9,0,44,2
2016,1,2016-04-06,Luxembourg,Finland,24,24,189,0,0,98,1,2,3,1,36,18
2016,1,2016-04-07,Great Britain,Greece,20,32,190,0,0,3,2,2,6,0,22,23
2016,2,2016-04-07,Austria,Czech Republic,26,27,191,1,1,4,93,7,7,0,3,13
2016,2,2016-04-07,Qatar,Brazil,30,28,192,1,1,2,3,8,11,0,44,8
2016,2,2016-04-07,Portugal,Netherlands,31,25,193,1,1,91,88,5,4,0,43,39
2016,2,2016-04-08,Portugal,Netherlands,36,24,194,1,1,1,1,6,5,0,43,39
2016,2,2016-04-08,Serbia,Russia,28,23,195,1,1,80,72,14,16,0,48,46
2016,3,2016-04-08,Denmark,Croatia,28,24,196,0,0,6,68,14,15,0,14,11
2016,3,2016-04-08,Poland,North Macedonia,25,20,197,0,0,70,72,22,15,0,42,40
2016,3,2016-04-08,Iran,Sweden,19,34,198,0,0,100,70,6,20,1,27,52
2016,3,2016-04-08,Chile,Tunisia,29,35,199,0,0,7,94,1,10,1,10,54
2016,3,2016-04-08,Norway,Bahrain,35,29,200,0,0,3,100,16,5,0,41,4
2016,3,2016-04-08,Spain,Slovenia,21,24,201,0,0,68,79,17,14,0,51,50
2016,2,2016-04-09,Slovakia,Netherlands,24,28,202,1,1,100,1,6,6,1,49,39
2016,2,2016-04-09,Serbia,Russia,27,25,203,1,1,1,1,15,17,0,48,46
2016,2,2016-04-09,France,Hungary,28,25,204,1,1,71,73,11,16,0,19,25
