season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2016,4,2016-10-08,Netherlands,Romania,23,24,155,0,1,1,2,22,20,0,40,46
2016,4,2016-10-08,Sweden,Poland,31,27,156,0,1,1,1,19,7,0,54,44
2016,4,2016-10-08,Iceland,Slovakia,26,25,157,0,1,1,1,5,12,0,28,50
2016,4,2016-10-09,Germany,Spain,24,27,158,0,1,2,2,11,19,0,23,53
2016,4,2016-11-22,Belarus,Lithuania,31,25,159,0,1,100,7,4,1,1,5,37
2016,4,2016-11-24,Czech Republic,Austria,26,25,160,0,1,49,47,9,9,0,15,3
2016,4,2016-11-25,Spain,Argentina,35,15,161,0,1,47,100,20,9,0,53,2
2016,4,2016-11-25,Croatia,Montenegro,28,20,162,0,1,48,100,5,14,0,13,39
2016,4,2016-11-25,Poland,Japan,32,17,163,0,1,48,100,8,11,0,44,33
2016,4,2016-11-25,Czech Republic,Serbia,28,30,164,0,1,1,49,10,7,0,15,49
2016,4,2016-11-26,Spain,Japan,33,21,165,0,1,1,1,21,12,0,53,33
2016,4,2016-11-26,Argentina,Poland,28,31,166,0,1,1,1,10,9,0,2,44
2016,4,2016-11-26,Germany,Sweden,24,24,167,0,1,48,49,12,20,0,23,54
2016,4,2016-11-26,Slovenia,Switzerland,32,25,168,0,1,49,100,9,5,0,51,55
2016,4,2016-11-26,Serbia,Austria,31,28,169,0,1,1,2,8,10,0,49,3
2016,4,2016-11-27,Romania,Hungary,24,29,170,0,1,50,50,21,5,0,46,27
2016,4,2016-11-27,Germany,Sweden,28,28,171,0,1,1,1,13,21,0,23,54
2016,4,2016-11-27,Spain,Poland,22,18,172,0,1,1,1,22,10,0,53,44
2016,4,2016-11-27,Japan,Argentina,23,19,173,0,1,1,1,13,11,0,33,2
2016,4,2016-11-27,Slovenia,Switzerland,36,29,174,0,1,1,1,10,6,0,51,55
2016,4,2016-11-30,Croatia,Japan,29,26,175,0,1,5,3,6,14,0,13,33
2016,4,2016-11-30,Sweden,France,21,27,176,0,1,3,100,22,18,0,54,22
2016,4,2016-12-01,Brazil,Cuba,51,9,177,0,1,100,100,20,3,0,8,14
2016,4,2016-12-01,Uruguay,Slovakia,15,29,178,0,1,100,54,4,13,0,59,50
2016,4,2016-12-02,Brazil,Uruguay,30,11,179,0,1,1,1,21,5,0,8,59
2016,4,2016-12-02,Slovakia,Cuba,38,11,180,0,1,1,1,14,4,0,50,14
2016,4,2016-12-03,Cuba,Uruguay,16,44,181,0,1,1,1,5,6,0,14,59
2016,4,2016-12-03,Brazil,Slovakia,21,21,182,0,1,1,1,22,15,0,8,50
2017,4,2017-03-15,Montenegro,Slovenia,29,22,183,0,1,100,100,15,11,1,39,51
2017,4,2017-03-16,Austria,Czech Republic,30,28,184,0,1,100,100,11,11,1,3,15
2017,4,2017-03-17,Netherlands,Iceland,23,20,185,0,1,100,100,23,6,1,40,28
2017,4,2017-03-17,North Macedonia,Serbia,29,35,186,0,1,7,100,1,9,1,41,49
2017,4,2017-03-17,Belarus,Poland,24,23,187,0,1,100,100,5,11,1,5,44
2017,4,2017-03-17,Hungary,Croatia,34,19,188,0,1,100,100,6,7,1,27,13
2017,4,2017-03-17,Romania,Spain,21,24,189,0,1,100,100,22,23,1,46,53
2017,4,2017-03-17,Slovakia,Ukraine,28,25,190,0,1,100,100,16,3,1,50,58
2017,4,2017-03-17,Turkey,Lithuania,43,15,191,0,1,100,100,4,2,1,57,37
2017,4,2017-03-17,Montenegro,Slovenia,19,20,192,0,1,2,2,16,12,0,39,51
2017,4,2017-03-18,Ukraine,Poland,17,26,193,0,1,1,1,4,12,0,58,44
2017,4,2017-03-18,Slovakia,Belarus,22,27,194,0,1,1,1,17,6,0,50,5
2017,4,2017-03-18,Sweden,Germany,33,28,195,0,1,100,100,23,14,1,54,23
2017,4,2017-03-18,Netherlands,Iceland,38,18,196,0,1,1,1,24,7,0,40,28
2017,4,2017-03-18,North Macedonia,Serbia,27,43,197,0,1,1,1,2,10,0,41,49
2017,4,2017-03-18,Czech Republic,Austria,35,26,198,0,1,2,2,12,12,0,15,3
2017,4,2017-03-18,Turkey,Lithuania,30,23,199,0,1,1,1,5,3,0,57,37
2017,4,2017-03-19,Romania,Spain,21,20,200,0,1,2,2,23,24,0,46,53
2017,4,2017-03-19,Germany,Sweden,23,24,201,0,1,1,1,15,24,0,23,54
2017,4,2017-03-19,Poland,Slovakia,29,25,202,0,1,1,1,13,18,0,44,50
2017,4,2017-03-19,Belarus,Ukraine,24,23,203,0,1,1,1,7,5,0,5,58
2017,4,2017-05-31,Serbia,Montenegro,31,31,204,0,1,74,75,11,17,0,49,39
2017,4,2017-06-01,Israel,Greece,23,27,205,0,1,7,7,1,1,1,31,25
2017,4,2017-06-01,Turkey,Lithuania,26,27,206,0,1,75,75,6,4,0,57,37
2017,4,2017-06-01,Russia,North Macedonia,35,29,207,0,1,100,75,15,3,1,47,41
2017,4,2017-06-01,Serbia,Montenegro,31,24,208,0,1,1,1,12,18,0,49,39
2017,4,2017-06-02,North Macedonia,Lithuania,31,24,209,0,1,1,1,4,5,0,41,37
2017,4,2017-06-02,Turkey,Russia,32,34,210,0,1,1,1,7,16,0,57,47
2017,4,2017-06-03,Israel,Greece,26,28,211,0,1,2,2,2,2,0,31,25
2017,4,2017-06-03,Russia,Lithuania,30,12,212,0,1,1,1,17,6,0,47,37
2017,4,2017-06-03,Belarus,Ukraine,34,31,213,0,1,76,76,8,6,0,5,58
