season,division,date,home,away,home_goals,away_goals
2025,2,2025-01-03,Serbia,Georgia,35,25
2024,3,2024-10-28,Bahrain,Japan,29,32
2024,3,2024-10-26,Qatar,Bahrain,29,30
2024,3,2024-10-26,Saudi Arabia,Iran,28,30
2024,3,2024-10-24,Qatar,Saudi Arabia,33,24
2024,3,2024-10-24,Bahrain,Iran,28,24
2024,3,2024-10-22,Kuwait,Bahrain,26,34
2024,3,2024-10-21,Kuwait,Japan,30,32
2024,3,2024-10-19,Japan,Bahrain,27,26
2024,3,2024-10-19,Kuwait,Iran,28,29
2024,3,2024-10-18,Japan,Iran,25,20
2024,1,2024-10-16,Bosnia & Herzegovina,Montenegro,25,36
2024,1,2024-10-16,Kosovo,Slovenia,24,29
2024,1,2024-10-16,Faroe Islands,Austria,28,30
2024,1,2024-10-16,Italy,France,29,40
2024,1,2024-10-16,Slovakia,Serbia,21,27
2024,1,2024-10-16,Greece,Netherlands,32,28
2024,1,2024-10-16,Romania,Ukraine,34,26
2024,1,2024-10-16,Georgia,Hungary,24,41
2024,1,2024-10-16,Luxembourg,Portugal,21,32
2024,1,2024-10-16,Turkey,North Macedonia,27,36
2024,1,2024-10-16,Finland,Norway,22,35
2024,1,2024-10-16,Latvia,Poland,19,37
2024,1,2024-10-16,Israel,Czech Republic,19,29
2024,1,2024-10-16,Belgium,Croatia,27,30
2024,1,2024-10-16,Lithuania,Switzerland,26,27
2024,1,2024-10-15,Estonia,Iceland,25,37
2024,1,2024-10-13,France,Latvia,35,18
2024,1,2024-10-13,Portugal,Turkey,44,27
2024,1,2024-10-13,Netherlands,Belgium,25,24
2024,1,2024-10-13,Slovenia,Bosnia & Herzegovina,28,20
2024,1,2024-10-13,Poland,Italy,30,23
2024,1,2024-10-13,Norway,Slovakia,38,26
2024,1,2024-10-13,Austria,Romania,36,32
2024,1,2024-10-12,Iceland,Israel,36,21
2024,1,2024-10-12,Ukraine,Faroe Islands,29,25
2024,1,2024-10-12,North Macedonia,Luxembourg,38,24
2024,1,2024-10-12,Hungary,Lithuania,36,23
2024,1,2024-10-12,Czech Republic,Estonia,31,23
2024,1,2024-10-12,Croatia,Greece,33,25
2024,1,2024-10-12,Montenegro,Kosovo,29,20
2024,1,2024-10-12,Serbia,Finland,34,24
2024,1,2024-10-12,Switzerland,Georgia,24,23
2024,3,2024-08-11,Germany,Denmark,26,39
2024,3,2024-08-11,Spain,Slovenia,23,22
2024,3,2024-08-09,Slovenia,Denmark,30,31
2024,3,2024-08-09,Germany,Spain,25,24
2024,3,2024-08-07,Norway,Slovenia,28,33
2024,3,2024-08-07,Denmark,Sweden,32,31
2024,3,2024-08-07,Germany,France,35,34
2024,3,2024-08-07,Spain,Egypt,29,28
2024,3,2024-08-04,Spain,Croatia,32,31
2024,3,2024-08-04,Denmark,Norway,32,25
2024,3,2024-08-04,Hungary,France,20,24
2024,3,2024-08-04,Germany,Slovenia,36,29
2024,3,2024-08-04,Egypt,Argentina,34,27
2024,3,2024-08-04,Sweden,Japan,40,27
2024,3,2024-08-02,Norway,Egypt,25,26
2024,3,2024-08-02,Japan,Slovenia,28,29
2024,3,2024-08-02,Germany,Spain,33,31
2024,3,2024-08-02,Croatia,Sweden,27,38
2024,3,2024-08-02,Argentina,France,21,28
2024,3,2024-08-02,Hungary,Denmark,25,28
2024,3,2024-07-31,Denmark,Argentina,38,27
2024,3,2024-07-31,France,Egypt,26,26
2024,3,2024-07-31,Slovenia,Sweden,29,24
2024,3,2024-07-31,Spain,Japan,37,33
2024,3,2024-07-31,Croatia,Germany,31,26
