season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,casual
2016,1,2016-05-02,Slovakia,Latvia,22,23,235,0,0
2016,1,2016-05-02,Czech Republic,Switzerland,29,25,236,0,0
2016,1,2016-05-02,Hungary,Russia,29,25,237,0,0
2016,1,2016-05-03,Montenegro,Israel,33,27,238,0,0
2016,1,2016-05-03,Serbia,Iceland,25,25,239,0,0
2016,1,2016-05-03,Slovenia,Sweden,28,28,240,0,0
2016,1,2016-05-03,Croatia,Norway,31,25,241,0,0
2016,1,2016-05-03,France,North Macedonia,35,24,242,0,0
2016,1,2016-05-03,Portugal,Ukraine,34,24,243,0,0
2016,1,2016-05-03,Spain,Germany,26,20,244,0,0
2016,1,2016-05-03,Lithuania,Bosnia & Herzegovina,19,15,245,0,0
2016,1,2016-05-03,Netherlands,Turkey,31,21,246,0,0
2016,2,2016-06-04,Norway,Belarus,36,33,247,1,1
2016,2,2016-06-07,Norway,Belarus,33,26,248,1,1
2016,2,2016-06-08,Portugal,Qatar,27,22,249,1,1
2016,2,2016-06-08,Germany,Russia,25,27,250,1,1
2016,1,2016-06-10,Portugal,Hungary,25,26,251,0,0
2016,1,2016-06-10,Austria,Spain,24,30,252,0,0
2016,1,2016-06-10,Montenegro,Serbia,23,23,253,0,0
2016,1,2016-06-10,Netherlands,Croatia,24,27,254,0,0
2016,1,2016-06-10,Switzerland,North Macedonia,17,26,255,0,0
2016,1,2016-06-10,Finland,Germany,20,34,256,0,0
2016,1,2016-06-10,Israel,Iceland,24,34,257,0,0
2016,1,2016-06-10,Latvia,Sweden,14,33,258,0,0
2016,1,2016-06-10,Czech Republic,France,24,34,259,0,0
2016,1,2016-06-10,Lithuania,Denmark,25,31,260,0,0
2016,1,2016-06-10,Turkey,Norway,22,26,261,0,0
2016,1,2016-06-10,Russia,Ukraine,27,22,262,0,0
2016,1,2016-06-10,Slovakia,Slovenia,20,26,263,0,0
2016,1,2016-06-11,Bosnia & Herzegovina,Belarus,22,22,264,0,0
2016,1,2016-06-11,Ukraine,Russia,28,30,265,0,0
2016,2,2016-06-11,Slovakia,Switzerland,19,27,266,1,1
2016,1,2016-06-12,Italy,Great Britain,37,26,267,0,0
2016,2,2016-06-12,Slovakia,Switzerland,29,25,268,1,1
2016,1,2016-06-13,Slovenia,Latvia,37,20,269,0,0
2016,1,2016-06-13,Spain,Finland,39,16,270,0,0
2016,1,2016-06-13,Hungary,Ukraine,32,28,271,0,0
2016,1,2016-06-13,France,Switzerland,31,23,272,0,0
2016,1,2016-06-14,Denmark,Bosnia & Herzegovina,26,25,273,0,0
2016,1,2016-06-14,Iceland,Montenegro,34,22,274,0,0
2016,1,2016-06-14,Serbia,Israel,32,23,275,0,0
2016,1,2016-06-14,Norway,Netherlands,38,24,276,0,0
2016,1,2016-06-14,North Macedonia,Czech Republic,32,28,277,0,0
2016,1,2016-06-14,Croatia,Turkey,40,26,278,0,0
2016,1,2016-06-14,Sweden,Slovakia,27,22,279,0,0
2016,1,2016-06-14,Germany,Austria,31,29,280,0,0
2016,1,2016-06-14,Belarus,Lithuania,31,24,281,0,0
2016,1,2016-06-14,Russia,Portugal,35,33,282,0,0
2016,1,2016-06-15,Greece,Italy,29,27,283,0,0
2016,1,2016-06-16,Estonia,Belgium,32,23,284,0,0
2016,2,2016-07-13,Germany,Tunisia,38,32,285,1,1
2016,2,2016-07-14,Croatia,Sweden,26,24,286,1,1
2016,2,2016-07-16,Croatia,Sweden,25,25,287,1,1
2016,2,2016-07-16,Denmark,Brazil,26,26,288,1,1
2016,2,2016-07-16,Slovenia,Tunisia,33,25,289,1,1
2016,2,2016-07-17,Slovenia,Tunisia,39,24,290,1,1
2016,2,2016-07-22,Germany,Denmark,19,25,291,1,1
2016,2,2016-07-22,France,Egypt,30,26,292,1,1
2016,2,2016-07-22,Slovenia,Croatia,27,25,293,1,1
2016,2,2016-07-22,Qatar,Poland,24,20,294,1,1
2016,2,2016-07-24,Qatar,Poland,29,26,295,1,1
2016,2,2016-07-24,France,Denmark,29,25,296,1,1
2016,2,2016-07-24,Egypt,Germany,27,30,297,1,1
2016,2,2016-07-26,Croatia,Slovenia,22,20,298,1,1
2016,2,2016-07-27,Argentina,Egypt,23,23,299,1,1
2016,2,2016-07-29,Argentina,Egypt,25,23,300,1,1
2016,2,2016-08-04,Slovenia,Denmark,22,21,301,1,1
2016,2,2016-08-04,Argentina,Sweden,11,20,302,1,1
2016,3,2016-08-07,France,Tunisia,25,23,303,0,0
2016,3,2016-08-07,Poland,Brazil,32,34,304,0,0
2016,3,2016-08-07,Denmark,Argentina,25,19,305,0,0
2016,3,2016-08-07,Sweden,Germany,29,32,306,0,0
2016,3,2016-08-07,Croatia,Qatar,23,30,307,0,0
2016,3,2016-08-08,Slovenia,Egypt,27,26,308,0,0
2016,3,2016-08-09,Egypt,Sweden,26,25,309,0,0
2016,3,2016-08-09,Brazil,Slovenia,28,31,310,0,0
2016,3,2016-08-09,Tunisia,Denmark,23,31,311,0,0
2016,3,2016-08-09,Germany,Poland,32,29,312,0,0
2016,3,2016-08-09,Qatar,France,20,35,313,0,0
2016,3,2016-08-10,Argentina,Croatia,26,27,314,0,0
2016,3,2016-08-11,Slovenia,Sweden,29,24,315,0,0
2016,3,2016-08-11,Brazil,Germany,33,30,316,0,0
2016,3,2016-08-11,Denmark,Croatia,24,27,317,0,0
2016,3,2016-08-11,Poland,Egypt,33,25,318,0,0
2016,3,2016-08-11,Tunisia,Qatar,25,25,319,0,0
2016,3,2016-08-12,France,Argentina,31,24,320,0,0
2016,3,2016-08-13,Sweden,Poland,24,25,321,0,0
2016,3,2016-08-13,Egypt,Brazil,27,27,322,0,0
2016,3,2016-08-13,Denmark,Qatar,26,25,323,0,0
2016,3,2016-08-13,Croatia,France,29,28,324,0,0
2016,3,2016-08-13,Slovenia,Germany,25,28,325,0,0
2016,3,2016-08-14,Argentina,Tunisia,23,21,326,0,0
2016,3,2016-08-15,Croatia,Tunisia,41,26,327,0,0
2016,3,2016-08-15,Sweden,Brazil,30,19,328,0,0
2016,3,2016-08-15,France,Denmark,33,30,329,0,0
2016,3,2016-08-15,Germany,Egypt,31,25,330,0,0
2016,3,2016-08-15,Poland,Slovenia,20,25,331,0,0
2016,3,2016-08-16,Qatar,Argentina,22,18,332,0,0
2016,3,2016-08-17,Croatia,Poland,27,30,333,0,0
2016,3,2016-08-17,Denmark,Slovenia,37,30,334,0,0
2016,3,2016-08-17,Germany,Qatar,34,22,335,0,0
2016,3,2016-08-17,Brazil,France,27,34,336,0,0
2016,3,2016-08-19,Poland,Denmark,28,29,337,0,0
2016,3,2016-08-19,France,Germany,29,28,338,0,0
2016,3,2016-08-21,Denmark,France,28,26,339,0,0
2016,3,2016-08-21,Poland,Germany,25,31,340,0,0
2016,2,2016-09-06,Belarus,Switzerland,24,30,341,1,1
2016,2,2016-09-07,Belarus,Switzerland,27,27,342,1,1
2016,1,2016-10-29,Hungary,Portugal,31,30,343,0,0
2016,1,2016-10-29,Iceland,Israel,36,19,344,0,0
2016,1,2016-10-29,Slovenia,Slovakia,31,25,345,0,0
2016,1,2016-10-29,Spain,Austria,27,16,346,0,0
